ticker,name,sector,subsector,industry,subindustry
BAJA,Saranacentral Bajatama Tbk.,Basic Materials,Metals & Minerals,Iron & Steel,Iron & Steel
BALI,Bali Towerindo Sentra Tbk.,Infrastructures,Telecommunication,Telecommunication Service,Wired Telecommunication Service
BAPA,Bekasi Asri Pemula Tbk.,Properties & Real Estate,Real Estate,Real Estate Development,Real Estate Development
BATA,Sepatu Bata Tbk.,Consumer Cyclicals,Apparel & Luxury Goods,Footwear,Footwear
BAYU,Bayu Buana Tbk.,Consumer Cyclicals,Consumer Services,Tourism & Recreation,Travel Agencies
BBCA,Bank Central Asia Tbk.,Financials,Banks,Banks,Banks
BBHI,Allo Bank Indonesia Tbk.,Financials,Banks,Banks,Banks
BBKP,Bank KB Indonesia Tbk.,Financials,Banks,Banks,Banks
BBLD,Buana Finance Tbk.,Financials,Financing Service,Consumer Financing,Consumer Financing
BBMD,Bank Mestika Dharma Tbk.,Financials,Banks,Banks,Banks
BBNI,Bank Negara Indonesia (Persero) Tbk.,Financials,Banks,Banks,Banks
BBRI,Bank Rakyat Indonesia (Persero) Tbk.,Financials,Banks,Banks,Banks
BBRM,Pelayaran Nasional Bina Buana Raya Tbk.,Transportation & Logistic,Transportation,Passenger Marine Transportation,Passenger Marine Transportation
BBTN,Bank Tabungan Negara (Persero) Tbk.,Financials,Banks,Banks,Banks
BBYB,Bank Neo Commerce Tbk.,Financials,Banks,Banks,Banks
BCAP,MNC Kapital Indonesia Tbk.,Financials,Holding & Investment Companies,Investment Companies,Investment Companies
BCIC,Bank JTrust Indonesia Tbk.,Financials,Banks,Banks,Banks
BCIP,Bumi Citra Permai Tbk.,Properties & Real Estate,Real Estate,Real Estate Development,Real Estate Development
BDMN,Bank Danamon Indonesia Tbk.,Financials,Banks,Banks,Banks
BEKS,Bank Pembangunan Daerah Banten Tbk.,Financials,Banks,Banks,Banks
BEST,Bekasi Fajar Industrial Estate Tbk.,Properties & Real Estate,Real Estate,Real Estate Development,Real Estate Development
BFIN,BFI Finance Indonesia Tbk.,Financials,Financing Service,Consumer Financing,Consumer Financing
BGTG,Bank Ganesha Tbk.,Financials,Banks,Banks,Banks
BHIT,MNC Asia Holding Tbk.,Financials,Holding & Investment Companies,Financial Holdings,Financial Holdings
BIKA,Binakarya Jaya Abadi Tbk.,Properties & Real Estate,Real Estate,Real Estate Development,Real Estate Development
BIMA,Primarindo Asia Infrastructure Tbk.,Consumer Cyclicals,Apparel & Luxury Goods,Footwear,Footwear
BINA,Bank Ina Perdana Tbk.,Financials,Banks,Banks,Banks
BIPI,Astrindo Nusantara Infrastruktur Tbk.,Energy,"Oil, Gas & Coal",Oil & Gas,Storage & Distribution
BIPP,Bhuwanatala Indah Permai Tbk.,Properties & Real Estate,Real Estate,Real Estate Development,Real Estate Development
BIRD,Blue Bird Tbk.,Transportation & Logistic,Transportation,Passenger Land Transportation,Road Transportation
BISI,BISI International Tbk.,Consumer Non-Cyclicals,Food & Beverage,Agricultural Products,Plantations & Crops
BJBR,Bank Pembangunan Daerah Jawa Barat dan Banten Tbk.,Financials,Banks,Banks,Banks
BJTM,Bank Pembangunan Daerah Jawa Timur Tbk.,Financials,Banks,Banks,Banks
BKDP,Bukit Darmo Property Tbk.,Properties & Real Estate,Real Estate,Real Estate Development,Real Estate Development
BKSL,Sentul City Tbk.,Properties & Real Estate,Real Estate,Real Estate Development,Real Estate Development
BKSW,Bank QNB Indonesia Tbk.,Financials,Banks,Banks,Banks
BLTA,Berlian Laju Tanker Tbk.,Transportation & Logistic,Transportation,Passenger Marine Transportation,Passenger Marine Transportation
BLTZ,Graha Layar Prima Tbk.,Consumer Cyclicals,Media & Entertainment,Entertainment & Movie Production,Entertainment & Movie Production
BMAS,Bank Maspion Indonesia Tbk.,Financials,Banks,Banks,Banks
BMRI,Bank Mandiri (Persero) Tbk.,Financials,Banks,Banks,Banks
BMSR,Bintang Mitra Semestaraya Tbk.,Consumer Cyclicals,Retailing,Specialty Retail,Specialty Stores
BMTR,Global Mediacom Tbk.,Consumer Cyclicals,Media & Entertainment,Media,Broadcasting
BNBA,Bank Bumi Arta Tbk.,Financials,Banks,Banks,Banks
BNBR,Bakrie & Brothers Tbk.,Industrials,Multi-sector Holdings,Multi-sector Holdings,Multi-sector Holdings
BNGA,Bank CIMB Niaga Tbk.,Financials,Banks,Banks,Banks
BNII,Bank Maybank Indonesia Tbk.,Financials,Banks,Banks,Banks
BNLI,Bank Permata Tbk.,Financials,Banks,Banks,Banks
BOLT,Garuda Metalindo Tbk.,Industrials,Industrial Goods,Machinery,Industrial Machinery & Components
BPFI,Woori Finance Indonesia Tbk.,Financials,Financing Service,Consumer Financing,Consumer Financing
BPII,Batavia Prosperindo Internasional Tbk.,Financials,Investment Service,Investment Services,Investment Banking & Brokerage Services
BRAM,Indo Kordsa Tbk.,Consumer Cyclicals,Automobiles & Components,Auto Components,Auto Parts & Equipment
BRMS,Bumi Resources Minerals Tbk.,Basic Materials,Metals & Minerals,Gold,Gold
BRNA,Berlina Tbk.,Basic Materials,Containers & Packaging,Containers & Packaging,Containers & Packaging
BRPT,Barito Pacific Tbk.,Basic Materials,Chemicals,Basic Chemicals,Basic Chemicals
BSDE,Bumi Serpong Damai Tbk.,Properties & Real Estate,Real Estate,Real Estate Development,Real Estate Development
BSIM,Bank Sinarmas Tbk.,Financials,Banks,Banks,Banks
BSSR,Baramulti Suksessarana Tbk.,Energy,"Oil, Gas & Coal",Coal,Coal Production
BSWD,Bank of India Indonesia Tbk.,Financials,Banks,Banks,Banks
BTEK,Bumi Teknokultura Unggul Tbk.,Consumer Non-Cyclicals,Food & Beverage,Agricultural Products,Plantations & Crops
BTEL,Bakrie Telecom Tbk.,Infrastructures,Telecommunication,Telecommunication Service,Wireless Telecommunication Services
BTON,Betonjaya Manunggal Tbk.,Basic Materials,Construction Materials,Construction Materials,Construction Materials
BTPN,Bank SMBC Indonesia Tbk.,Financials,Banks,Banks,Banks
BUDI,Budi Starch & Sweetener Tbk.,Consumer Non-Cyclicals,Food & Beverage,Processed Foods,Processed Foods
BUKK,Bukaka Teknik Utama Tbk.,Industrials,Industrial Goods,Machinery,Industrial Machinery & Components
BULL,Buana Lintas Lautan Tbk.,Transportation & Logistic,Transportation,Passenger Marine Transportation,Passenger Marine Transportation
BUMI,Bumi Resources Tbk.,Energy,"Oil, Gas & Coal",Coal,Coal Production
BUVA,Bukit Uluwatu Villa Tbk.,Consumer Cyclicals,Consumer Services,Tourism & Recreation,"Hotels, Resorts & Cruise Lines"
BVIC,Bank Victoria International Tbk.,Financials,Banks,Banks,Banks
BWPT,Eagle High Plantations Tbk.,Consumer Non-Cyclicals,Food & Beverage,Agricultural Products,Plantations & Crops
BYAN,Bayan Resources Tbk.,Energy,"Oil, Gas & Coal",Coal,Coal Production
CANI,Capitol Nusantara Indonesia Tbk.,Properties & Real Estate,Real Estate,Real Estate Development,Real Estate Development
CASS,Cahaya Aero Services Tbk.,Transportation & Logistic,Logistics & Deliveries,Logistics & Deliveries,Logistics & Deliveries
CEKA,Wilmar Cahaya Indonesia Tbk.,Consumer Non-Cyclicals,Food & Beverage,Processed Foods,Processed Foods
CENT,Centratama Telekomunikasi Indonesia Tbk.,Infrastructures,Telecommunication,Telecommunication Service,Wired Telecommunication Service
CFIN,Clipan Finance Indonesia Tbk.,Financials,Financing Service,Consumer Financing,Consumer Financing
CINT,Chitose Internasional Tbk.,Consumer Cyclicals,Household Goods,Household Goods,Home Furnishings
CITA,Cita Mineral Investindo Tbk.,Basic Materials,Metals & Minerals,Diversified Metals & Minerals,Diversified Metals & Minerals
CLPI,Colorpak Indonesia Tbk.,Basic Materials,Chemicals,Specialty Chemical,Specialty Chemical
CMNP,Citra Marga Nusaphala Persada Tbk.,Infrastructures,Transportation Infrastructure,Transport Infrastructure Operator,Highways & Railtracks
CMPP,AirAsia Indonesia Tbk.,Transportation & Logistic,Transportation,Airlines,Airlines
CNKO,Exploitasi Energi Indonesia Tbk.,Energy,"Oil, Gas & Coal",Oil & Gas,Oil & Gas Production & Refinery
CNTX,Century Textile Industry Tbk.,Consumer Cyclicals,Apparel & Luxury Goods,Textiles,Textiles
COWL,Cowell Development Tbk.,Properties & Real Estate,Real Estate,Real Estate Development,Real Estate Development
CPIN,Charoen Pokphand Indonesia Tbk.,Consumer Non-Cyclicals,Food & Beverage,Agricultural Products,"Fish, Meat & Poultry"
CPRO,Central Proteina Prima Tbk.,Consumer Non-Cyclicals,Food & Beverage,Agricultural Products,"Fish, Meat & Poultry"
CSAP,Catur Sentosa Adiprana Tbk.,Consumer Cyclicals,Retailing,Specialty Retail,Specialty Stores
CTBN,Citra Tubindo Tbk.,Basic Materials,Metals & Minerals,Iron & Steel,Iron & Steel
CTRA,Ciputra Development Tbk.,Properties & Real Estate,Real Estate,Real Estate Development,Real Estate Development
CTTH,Citatah Tbk.,Basic Materials,Construction Materials,Construction Materials,Construction Materials
DART,Duta Anggada Realty Tbk.,Properties & Real Estate,Real Estate,Real Estate Development,Real Estate Development
DEFI,Danasupra Erapacific Tbk.,Financials,Investment Service,Investment Services,Investment Management
DEWA,Darma Henwa Tbk.,Energy,"Oil, Gas & Coal","Oil, Gas & Coal Supports","Oil, Gas & Coal Equipment & Services"
DGIK,Nusa Konstruksi Enjiniring Tbk.,Infrastructures,Heavy Constructions & Civil Engineering,Heavy Constructions & Civil Engineering,Heavy Constructions & Civil Engineering
DILD,Intiland Development Tbk.,Properties & Real Estate,Real Estate,Real Estate Development,Real Estate Development
DKFT,Central Omega Resources Tbk.,Basic Materials,Metals & Minerals,Diversified Metals & Minerals,Diversified Metals & Minerals
DLTA,Delta Djakarta Tbk.,Consumer Non-Cyclicals,Food & Beverage,Beverages,Liquors
DMAS,Puradelta Lestari Tbk.,Properties & Real Estate,Real Estate,Real Estate Development,Real Estate Development
DNAR,Bank Oke Indonesia Tbk.,Financials,Banks,Banks,Banks
DNET,Indoritel Makmur Internasional Tbk.,Consumer Cyclicals,Retailing,Consumer Distributors,Consumer Distributors
DOID,BUMA Internasional Grup Tbk.,Energy,"Oil, Gas & Coal",Coal,Coal Production
DPNS,Duta Pertiwi Nusantara Tbk.,Basic Materials,Construction Materials,Construction Materials,Construction Materials
DSFI,Dharma Samudera Fishing Industries Tbk.,Consumer Non-Cyclicals,Food & Beverage,Agricultural Products,"Fish, Meat & Poultry"
DSNG,Dharma Satya Nusantara Tbk.,Consumer Non-Cyclicals,Food & Beverage,Agricultural Products,Plantations & Crops
DSSA,Dian Swastatika Sentosa Tbk.,Energy,"Oil, Gas & Coal",Coal,Coal Production
DUTI,Duta Pertiwi Tbk.,Properties & Real Estate,Real Estate,Real Estate Development,Real Estate Development
DVLA,Darya-Varia Laboratoria Tbk.,Healthcare,Pharmaceuticals & Health Care Research,Pharmaceuticals,Pharmaceuticals
DYAN,Dyandra Media International Tbk.,Consumer Cyclicals,Media & Entertainment,Media,Advertising
ECII,Electronic City Indonesia Tbk.,Consumer Cyclicals,Retailing,Specialty Retail,Electronics Retail
EKAD,Ekadharma International Tbk.,Basic Materials,Chemicals,Specialty Chemical,Specialty Chemical
ELSA,Elnusa Tbk.,Energy,"Oil, Gas & Coal","Oil, Gas & Coal Supports","Oil, Gas & Coal Equipment & Services"
ELTY,Bakrieland Development Tbk.,Properties & Real Estate,Real Estate,Real Estate Development,Real Estate Development
EMDE,Megapolitan Developments Tbk.,Properties & Real Estate,Real Estate,Real Estate Development,Real Estate Development
EMTK,Elang Mahkota Teknologi Tbk.,Consumer Cyclicals,Media & Entertainment,Media,Broadcasting
ENRG,Energi Mega Persada Tbk.,Energy,"Oil, Gas & Coal",Oil & Gas,Oil & Gas Production & Refinery
EPMT,Enseval Putera Megatrading Tbk.,Healthcare,Healthcare Equipment & Providers,Healthcare Supplies & Distributions,Healthcare Supplies & Distributions
ERAA,Erajaya Swasembada Tbk.,Consumer Cyclicals,Retailing,Specialty Retail,Electronics Retail
ERTX,Eratex Djaja Tbk.,Consumer Cyclicals,Apparel & Luxury Goods,Textiles,Textiles
ESSA,ESSA Industries Indonesia Tbk.,Energy,"Oil, Gas & Coal",Oil & Gas,Oil & Gas Production & Refinery
ESTI,Ever Shine Tex Tbk.,Consumer Cyclicals,Apparel & Luxury Goods,Textiles,Textiles
ETWA,Eterindo Wahanatama Tbk.,Consumer Non-Cyclicals,Food & Beverage,Agricultural Products,Plantations & Crops
EXCL,XLSMART Telecom Sejahtera Tbk.,Infrastructures,Telecommunication,Telecommunication Service,Wireless Telecommunication Services
FAST,Fast Food Indonesia Tbk.,Consumer Cyclicals,Consumer Services,Tourism & Recreation,Restaurants
FASW,Fajar Surya Wisesa Tbk.,Basic Materials,Forestry & Paper,Paper,Paper
FISH,FKS Multi Agro Tbk.,Consumer Non-Cyclicals,Food & Beverage,Agricultural Products,Plantations & Crops
FMII,Fortune Mate Indonesia Tbk.,Properties & Real Estate,Real Estate,Real Estate Development,Real Estate Development
FORU,Fortune Indonesia Tbk.,Consumer Cyclicals,Media & Entertainment,Media,Advertising
FPNI,Lotte Chemical Titan Tbk.,Basic Materials,Chemicals,Basic Chemicals,Basic Chemicals
GAMA,Aksara Global Development Tbk.,Properties & Real Estate,Real Estate,Real Estate Development,Real Estate Development
GDST,Gunawan Dianjaya Steel Tbk.,Basic Materials,Metals & Minerals,Iron & Steel,Iron & Steel
GDYR,Goodyear Indonesia Tbk.,Consumer Cyclicals,Automobiles & Components,Auto Components,Tires
GEMA,Gema Grahasarana Tbk.,Industrials,Industrial Services,Business Support Services,Business Support Services
GEMS,Golden Energy Mines Tbk.,Energy,"Oil, Gas & Coal",Coal,Coal Production
GGRM,Gudang Garam Tbk.,Consumer Non-Cyclicals,Tobacco,Tobacco,Tobacco
GIAA,Garuda Indonesia (Persero) Tbk.,Transportation & Logistic,Transportation,Airlines,Airlines
GJTL,Gajah Tunggal Tbk.,Consumer Cyclicals,Automobiles & Components,Auto Components,Tires
GLOB,Globe Kita Terang Tbk.,Consumer Cyclicals,Retailing,Specialty Retail,Electronics Retail
GMTD,Gowa Makassar Tourism Development Tbk.,Consumer Cyclicals,Consumer Services,Tourism & Recreation,"Hotels, Resorts & Cruise Lines"
GOLD,Visi Telekomunikasi Infrastruktur Tbk.,Infrastructures,Telecommunication,Telecommunication Service,Wired Telecommunication Service
GOLL,Golden Plantation Tbk.,Consumer Non-Cyclicals,Food & Beverage,Agricultural Products,Plantations & Crops
GPRA,Perdana Gapuraprima Tbk.,Properties & Real Estate,Real Estate,Real Estate Development,Real Estate Development
GSMF,Equity Development Investment Tbk.,Financials,Investment Service,Investment Services,Investment Management
GTBO,Garda Tujuh Buana Tbk.,Energy,"Oil, Gas & Coal",Coal,Coal Production
GWSA,Greenwood Sejahtera Tbk.,Properties & Real Estate,Real Estate,Real Estate Development,Real Estate Development
GZCO,Gozco Plantations Tbk.,Consumer Non-Cyclicals,Food & Beverage,Agricultural Products,Plantations & Crops
HADE,Himalaya Energi Perkasa Tbk.,Energy,"Oil, Gas & Coal",Coal,Coal Production
HDFA,Radana Bhaskara Finance Tbk.,Financials,Financing Service,Consumer Financing,Consumer Financing
HERO,DFI Retail Nusantara Tbk.,Consumer Non-Cyclicals,Food & Staples Retailing,Food & Staples Retailing,Food Retail & Distributors
HEXA,Hexindo Adiperkasa Tbk.,Industrials,Industrial Goods,Machinery,Construction Machinery & Heavy Vehicles
HITS,Humpuss Intermoda Transportasi Tbk.,Transportation & Logistic,Logistics & Deliveries,Logistics & Deliveries,Logistics & Deliveries
HMSP,H.M. Sampoerna Tbk.,Consumer Non-Cyclicals,Tobacco,Tobacco,Tobacco
HOME,Hotel Mandarine Regency Tbk.,Consumer Cyclicals,Consumer Services,Tourism & Recreation,"Hotels, Resorts & Cruise Lines"
HOTL,Saraswati Griya Lestari Tbk.,Consumer Cyclicals,Consumer Services,Tourism & Recreation,"Hotels, Resorts & Cruise Lines"
HRUM,Harum Energy Tbk.,Energy,"Oil, Gas & Coal",Coal,Coal Production
IATA,MNC Energy Investments Tbk.,Energy,"Oil, Gas & Coal",Oil & Gas,Oil & Gas Production & Refinery
IBFN,Intan Baru Prana Tbk.,Industrials,Industrial Services,Business Support Services,Business Support Services
IBST,Inti Bangun Sejahtera Tbk.,Infrastructures,Telecommunication,Telecommunication Service,Wired Telecommunication Service
ICBP,Indofood CBP Sukses Makmur Tbk.,Consumer Non-Cyclicals,Food & Beverage,Processed Foods,Processed Foods
ICON,Island Concepts Indonesia Tbk.,Consumer Cyclicals,Consumer Services,Tourism & Recreation,"Hotels, Resorts & Cruise Lines"
IGAR,Champion Pacific Indonesia Tbk.,Basic Materials,Containers & Packaging,Containers & Packaging,Containers & Packaging
IIKP,Inti Agri Resources Tbk.,Consumer Non-Cyclicals,Food & Beverage,Agricultural Products,Plantations & Crops
IKAI,Intikeramik Alamasri Industri Tbk.,Basic Materials,Construction Materials,Construction Materials,Construction Materials
IKBI,Sumi Indo Kabel Tbk.,Industrials,Industrial Goods,Electrical,Electrical Components & Equipment
IMAS,Indomobil Sukses Internasional Tbk.,Consumer Cyclicals,Automobiles & Components,Automobiles,Car Manufacturers
IMJS,Indomobil Multi Jasa Tbk.,Financials,Financing Service,Consumer Financing,Consumer Financing
IMPC,Impack Pratama Industri Tbk.,Basic Materials,Containers & Packaging,Containers & Packaging,Containers & Packaging
INAF,Indofarma Tbk.,Healthcare,Pharmaceuticals & Health Care Research,Pharmaceuticals,Pharmaceuticals
INAI,Indal Aluminium Industry Tbk.,Basic Materials,Metals & Minerals,Aluminum,Aluminum
INCI,Intanwijaya Internasional Tbk.,Consumer Non-Cyclicals,Food & Beverage,Agricultural Products,Plantations & Crops
INCO,Vale Indonesia Tbk.,Basic Materials,Metals & Minerals,Diversified Metals & Minerals,Diversified Metals & Minerals
INDF,Indofood Sukses Makmur Tbk.,Consumer Non-Cyclicals,Food & Beverage,Processed Foods,Processed Foods
INDR,Indo-Rama Synthetics Tbk.,Consumer Cyclicals,Apparel & Luxury Goods,Textiles,Textiles
INDS,Indospring Tbk.,Consumer Cyclicals,Automobiles & Components,Auto Components,Auto Parts & Equipment
INDX,Tanah Laut Tbk.,Properties & Real Estate,Real Estate,Real Estate Development,Real Estate Development
INDY,Indika Energy Tbk.,Energy,"Oil, Gas & Coal",Coal,Coal Production
INKP,Indah Kiat Pulp & Paper Tbk.,Basic Materials,Forestry & Paper,Paper,Paper
INPC,Bank Artha Graha Internasional Tbk.,Financials,Banks,Banks,Banks
INPP,Indonesian Paradise Property Tbk.,Properties & Real Estate,Real Estate,Real Estate Development,Real Estate Development
INRU,Toba Pulp Lestari Tbk.,Basic Materials,Forestry & Paper,Paper,Paper
INTA,Intraco Penta Tbk.,Industrials,Industrial Goods,Machinery,Construction Machinery & Heavy Vehicles
INTD,Inter Delta Tbk.,Basic Materials,Construction Materials,Construction Materials,Construction Materials
INTP,Indocement Tunggal Prakarsa Tbk.,Basic Materials,Construction Materials,Construction Materials,Construction Materials
IPOL,Indopoly Swakarsa Industry Tbk.,Basic Materials,Containers & Packaging,Containers & Packaging,Containers & Packaging
ISAT,Indosat Tbk.,Infrastructures,Telecommunication,Telecommunication Service,Integrated Telecommunication Service
ISSP,Steel Pipe Industry of Indonesia Tbk.,Basic Materials,Metals & Minerals,Iron & Steel,Iron & Steel
ITMA,Sumber Energi Andalan Tbk.,Energy,"Oil, Gas & Coal",Oil & Gas,Oil & Gas Production & Refinery
ITMG,Indo Tambangraya Megah Tbk.,Energy,"Oil, Gas & Coal",Coal,Coal Production
JAWA,Jaya Agra Wattie Tbk.,Consumer Non-Cyclicals,Food & Beverage,Agricultural Products,Plantations & Crops
JECC,Jembo Cable Company Tbk.,Industrials,Industrial Goods,Electrical,Electrical Components & Equipment
JIHD,Jakarta International Hotels & Development Tbk.,Consumer Cyclicals,Consumer Services,Tourism & Recreation,"Hotels, Resorts & Cruise Lines"
JKON,Jaya Konstruksi Manggala Pratama Tbk.,Infrastructures,Heavy Constructions & Civil Engineering,Heavy Constructions & Civil Engineering,Heavy Constructions & Civil Engineering
JPFA,Japfa Comfeed Indonesia Tbk.,Consumer Non-Cyclicals,Food & Beverage,Agricultural Products,"Fish, Meat & Poultry"
JRPT,Jaya Real Property Tbk.,Properties & Real Estate,Real Estate,Real Estate Development,Real Estate Development
JSMR,Jasa Marga (Persero) Tbk.,Infrastructures,Transportation Infrastructure,Transport Infrastructure Operator,Highways & Railtracks
JSPT,Jakarta Setiabudi Internasional Tbk.,Properties & Real Estate,Real Estate,Real Estate Development,Real Estate Development
JTPE,Jasuindo Tiga Perkasa Tbk.,Basic Materials,Containers & Packaging,Containers & Packaging,Containers & Packaging
KAEF,Kimia Farma Tbk.,Healthcare,Pharmaceuticals & Health Care Research,Pharmaceuticals,Pharmaceuticals
KARW,Meratus Jasa Prima Tbk.,Transportation & Logistic,Logistics & Deliveries,Logistics & Deliveries,Logistics & Deliveries
KBLI,KMI Wire & Cable Tbk.,Industrials,Industrial Goods,Electrical,Electrical Components & Equipment
KBLM,Kabelindo Murni Tbk.,Industrials,Industrial Goods,Electrical,Electrical Components & Equipment
KBLV,First Media Tbk.,Infrastructures,Telecommunication,Telecommunication Service,Wired Telecommunication Service
KBRI,Kertas Basuki Rachmat Indonesia Tbk.,Basic Materials,Forestry & Paper,Paper,Paper
KDSI,Kedawung Setia Industrial Tbk.,Basic Materials,Containers & Packaging,Containers & Packaging,Containers & Packaging
KIAS,Keramika Indonesia Assosiasi Tbk.,Basic Materials,Construction Materials,Construction Materials,Construction Materials
KICI,Kedaung Indah Can Tbk.,Basic Materials,Containers & Packaging,Containers & Packaging,Containers & Packaging
KIJA,Kawasan Industri Jababeka Tbk.,Properties & Real Estate,Real Estate,Real Estate Development,Real Estate Development
KKGI,Resource Alam Indonesia Tbk.,Energy,"Oil, Gas & Coal",Coal,Coal Production
KLBF,Kalbe Farma Tbk.,Healthcare,Pharmaceuticals & Health Care Research,Pharmaceuticals,Pharmaceuticals
KOBX,Kobexindo Tractors Tbk.,Industrials,Industrial Goods,Machinery,Construction Machinery & Heavy Vehicles
KOIN,Kokoh Inti Arebama Tbk.,Consumer Cyclicals,Retailing,Specialty Retail,Home Improvement Retail
KONI,Perdana Bangun Pusaka Tbk.,Basic Materials,Construction Materials,Construction Materials,Construction Materials
KOPI,Mitra Energi Persada Tbk.,Energy,"Oil, Gas & Coal",Oil & Gas,Oil & Gas Production & Refinery
KPIG,MNC Tourism Indonesia Tbk.,Consumer Cyclicals,Consumer Services,Tourism & Recreation,"Hotels, Resorts & Cruise Lines"
KRAS,Krakatau Steel (Persero) Tbk.,Basic Materials,Metals & Minerals,Iron & Steel,Iron & Steel
KREN,Quantum Clovera Investama Tbk.,Financials,Holding & Investment Companies,Investment Companies,Investment Companies
